subject_id,cell_id,file_name,file_path,recording_duration_s,channel,channel_units,analysis,scope,trial_index,trial_count,sampling_rate,absolute_peak_mv_mean,absolute_peak_mv_std,adp_amplitude_mean,adp_amplitude_std,ahp_duration_half_mean,ahp_duration_half_std,amplitude_mean,amplitude_std,ap_threshold_mean,ap_threshold_std,conductance_us,decay_time_90_10_mean,decay_time_90_10_std,fahp_depth_mean,fahp_depth_std,half_width_mean,half_width_std,mahp_depth_mean,mahp_depth_std,max_dvdt_mean,max_dvdt_std,mean_freq_hz,min_dvdt_mean,min_dvdt_std,module_used,overshoot_mv_mean,overshoot_mv_std,parameters,rin_error,rin_mohm,rise_time_10_90_mean,rise_time_10_90_std,rmp_drift_rate_mv_per_sweep,rmp_mv,rmp_mv_minus_sd,rmp_mv_plus_sd,rmp_per_sweep,rmp_std,spike_count,spike_indices,spike_times,spike_voltages,sweep_indices,threshold,batch_timestamp,_parameters_obj,_raw_arrays,_rmp_per_sweep_obj,_spike_indices_raw,_spike_times_raw,_spike_voltages_raw,_sweep_indices_obj
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,3,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-62.817378997802734,-62.817378997802734,-62.817378997802734,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-62.817378997802734],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,4,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-61.966880798339844,-61.966880798339844,-61.966880798339844,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-61.966880798339844],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,5,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-60.69612503051758,-60.69612503051758,-60.69612503051758,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-60.69612503051758],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,6,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-59.53618240356445,-59.53618240356445,-59.53618240356445,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-59.53618240356445],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,7,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-57.916255950927734,-57.916255950927734,-57.916255950927734,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-57.916255950927734],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,8,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-55.82323455810547,-55.82323455810547,-55.82323455810547,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-55.82323455810547],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,9,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-55.293418884277344,-55.293418884277344,-55.293418884277344,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-55.293418884277344],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,10,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-54.45315933227539,-54.45315933227539,-54.45315933227539,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-54.45315933227539],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,11,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-53.31834030151367,-53.31834030151367,-53.31834030151367,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-53.31834030151367],,,,[0]
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rmp_analysis,all_trials,12,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,,,,,0.0,-53.07195281982422,-53.07195281982422,-53.07195281982422,list,0.0,,,,,list,,2026-06-14T14:55:27.670651,,,[-53.07195281982422],,,,[0]
